rank,title,year,rating,movie_url
1,The Shawshank Redemption,1994,9.3,https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,9.1,https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,9.0,https://www.imdb.com/title/tt0071562/
5,12 Angry Men,1957,9.0,https://www.imdb.com/title/tt0050083/
6,The Lord of the Rings: The Return of the King,2004,9.0,https://www.imdb.com/title/tt0167260/
7,Schindler&apos;s List,1993,9.0,https://www.imdb.com/title/tt0108052/
8,Pulp Fiction,1994,8.8,https://www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2002,8.9,https://www.imdb.com/title/tt0120737/
10,"Il buono, il brutto, il cattivo",1969,8.8,https://www.imdb.com/title/tt0060196/
11,Forrest Gump,2014,8.8,https://www.imdb.com/title/tt0109830/
12,The Lord of the Rings: The Two Towers,2003,8.8,https://www.imdb.com/title/tt0167261/
13,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/
14,Inception,2010,8.8,https://www.imdb.com/title/tt1375666/
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/
16,The Matrix,1999,8.7,https://www.imdb.com/title/tt0133093/
17,GoodFellas,2019,8.7,https://www.imdb.com/title/tt0099685/
18,Interstellar,2014,8.7,https://www.imdb.com/title/tt0816692/
19,One Flew Over the Cuckoo&apos;s Nest,1977,8.7,https://www.imdb.com/title/tt0073486/
20,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/
21,It&apos;s a Wonderful Life,1947,8.6,https://www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/
23,Shichinin no samurai,1954,8.6,https://www.imdb.com/title/tt0047478/
24,Saving Private Ryan,1999,8.6,https://www.imdb.com/title/tt0120815/
25,The Green Mile,2000,8.6,https://www.imdb.com/title/tt0120689/
26,Cidade de Deus,2007,8.6,https://www.imdb.com/title/tt0317248/
27,La vita è bella,2000,8.6,https://www.imdb.com/title/tt0118799/
28,Terminator 2: Judgment Day,1991,8.6,https://www.imdb.com/title/tt0103064/
29,Star Wars,1978,8.6,https://www.imdb.com/title/tt0076759/
30,Back to the Future,1986,8.5,https://www.imdb.com/title/tt0088763/
31,Sen to Chihiro no kamikakushi,2020,8.6,https://www.imdb.com/title/tt0245429/
32,The Pianist,2019,8.5,https://www.imdb.com/title/tt0253474/
33,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/
34,Gisaengchung,2020,8.5,https://www.imdb.com/title/tt6751668/
35,Psycho,2020,8.5,https://www.imdb.com/title/tt0054215/
36,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/
37,Hotaru no haka,1988,8.5,https://www.imdb.com/title/tt0095327/
38,The Departed,2007,8.5,https://www.imdb.com/title/tt0407887/
39,Whiplash,2015,8.5,https://www.imdb.com/title/tt2582802/
40,Seppuku,1962,8.6,https://www.imdb.com/title/tt0056058/
41,The Prestige,2006,8.5,https://www.imdb.com/title/tt0482571/
42,American History X,1999,8.5,https://www.imdb.com/title/tt0120586/
43,Léon,1996,8.5,https://www.imdb.com/title/tt0110413/
44,Spider-Man: Across the Spider-Verse,2023,8.5,https://www.imdb.com/title/tt9362722/
45,Casablanca,1943,8.5,https://www.imdb.com/title/tt0034583/
46,Nuovo Cinema Paradiso,1988,8.5,https://www.imdb.com/title/tt0095765/
47,Intouchables,2012,8.5,https://www.imdb.com/title/tt1675434/
48,The Usual Suspects,1996,8.5,https://www.imdb.com/title/tt0114814/
49,Alien,1979,8.5,https://www.imdb.com/title/tt0078748/
50,Modern Times,1936,8.5,https://www.imdb.com/title/tt0027977/
51,Rear Window,1954,8.5,https://www.imdb.com/title/tt0047396/
52,Django Unchained,2013,8.5,https://www.imdb.com/title/tt1853728/
53,C&apos;era una volta il West,1969,8.5,https://www.imdb.com/title/tt0064116/
54,City Lights,1931,8.5,https://www.imdb.com/title/tt0021749/
55,Apocalypse Now,1979,8.4,https://www.imdb.com/title/tt0078788/
56,WALL·E,2008,8.4,https://www.imdb.com/title/tt0910970/
57,Memento,2000,8.4,https://www.imdb.com/title/tt0209144/
58,Dune: Part Two,2024,8.5,https://www.imdb.com/title/tt15239678/
59,Raiders of the Lost Ark,1981,8.4,https://www.imdb.com/title/tt0082971/
60,Avengers: Infinity War,2018,8.4,https://www.imdb.com/title/tt4154756/
61,Das Leben der Anderen,2006,8.4,https://www.imdb.com/title/tt0405094/
62,Sunset Blvd.,1950,8.4,https://www.imdb.com/title/tt0043014/
63,Spider-Man: Into the Spider-Verse,2018,8.4,https://www.imdb.com/title/tt4633694/
64,Witness for the Prosecution,1958,8.4,https://www.imdb.com/title/tt0051201/
65,Paths of Glory,1957,8.4,https://www.imdb.com/title/tt0050825/
66,The Shining,2017,8.4,https://www.imdb.com/title/tt0081505/
67,The Great Dictator,1941,8.4,https://www.imdb.com/title/tt0032553/
68,Inglourious Basterds,2009,8.4,https://www.imdb.com/title/tt0361748/
69,12th Fail,2023,8.7,https://www.imdb.com/title/tt23849204/
70,Aliens,1987,8.4,https://www.imdb.com/title/tt0090605/
71,The Dark Knight Rises,2012,8.4,https://www.imdb.com/title/tt1345836/
72,Coco,2017,8.4,https://www.imdb.com/title/tt2380307/
73,Amadeus,1984,8.4,https://www.imdb.com/title/tt0086879/
74,Avengers: Endgame,2019,8.4,https://www.imdb.com/title/tt4154796/
75,Good Will Hunting,1998,8.3,https://www.imdb.com/title/tt0119217/
76,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/
77,Tengoku to jigoku,1963,8.4,https://www.imdb.com/title/tt0057565/
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com/title/tt0057012/
79,Oldeuboi,2017,8.3,https://www.imdb.com/title/tt0364569/
80,Das Boot,1981,8.4,https://www.imdb.com/title/tt0082096/
81,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/
82,Kimi no na wa.,2016,8.4,https://www.imdb.com/title/tt5311514/
83,Mononoke-hime,2020,8.3,https://www.imdb.com/title/tt0119698/
84,American Beauty,2020,8.3,https://www.imdb.com/title/tt0169547/
85,3 Idiots,2009,8.4,https://www.imdb.com/title/tt1187043/
86,Joker,2019,8.3,https://www.imdb.com/title/tt7286456/
87,Capharnaüm,2019,8.4,https://www.imdb.com/title/tt8267604/
88,Once Upon a Time in America,1984,8.3,https://www.imdb.com/title/tt0087843/
89,Singin&apos; in the Rain,1952,8.3,https://www.imdb.com/title/tt0045152/
90,Idi i smotri,1985,8.3,https://www.imdb.com/title/tt0091251/
91,Requiem for a Dream,2017,8.3,https://www.imdb.com/title/tt0180093/
92,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/
93,Toy Story 3,2010,8.3,https://www.imdb.com/title/tt0435761/
94,Jagten,2012,8.3,https://www.imdb.com/title/tt2106476/
95,Ikiru,1952,8.3,https://www.imdb.com/title/tt0044741/
96,Eternal Sunshine of the Spotless Mind,2019,8.3,https://www.imdb.com/title/tt0338013/
97,Incendies,2020,8.3,https://www.imdb.com/title/tt1255953/
98,The Apartment,1960,8.3,https://www.imdb.com/title/tt0053604/
99,Lawrence of Arabia,2016,8.3,https://www.imdb.com/title/tt0056172/
100,2001: A Space Odyssey,2017,8.3,https://www.imdb.com/title/tt0062622/
101,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/
102,Scarface,1983,8.3,https://www.imdb.com/title/tt0086250/
103,Heat,1995,8.3,https://www.imdb.com/title/tt0113277/
104,Double Indemnity,1944,8.3,https://www.imdb.com/title/tt0036775/
105,North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/
106,Up,2009,8.3,https://www.imdb.com/title/tt1049413/
107,M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com/title/tt0022100/
108,Citizen Kane,2020,8.2,https://www.imdb.com/title/tt0033467/
109,Full Metal Jacket,1987,8.2,https://www.imdb.com/title/tt0093058/
110,Vertigo,2014,8.2,https://www.imdb.com/title/tt0052357/
111,Le fabuleux destin d&apos;Amélie Poulain,2001,8.3,https://www.imdb.com/title/tt0211915/
112,Taare Zameen Par,2007,8.3,https://www.imdb.com/title/tt0986264/
113,Jodaeiye Nader az Simin,2012,8.3,https://www.imdb.com/title/tt1832382/
114,To Kill a Mockingbird,1963,8.3,https://www.imdb.com/title/tt0056592/
115,Die Hard,2013,8.2,https://www.imdb.com/title/tt0095016/
116,Indiana Jones and the Last Crusade,1990,8.2,https://www.imdb.com/title/tt0097576/
117,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/
118,A Clockwork Orange,2017,8.2,https://www.imdb.com/title/tt0066921/
119,Metropolis,1927,8.3,https://www.imdb.com/title/tt0017136/
120,Oppenheimer,2023,8.3,https://www.imdb.com/title/tt15398776/
121,Snatch,2019,8.2,https://www.imdb.com/title/tt0208092/
122,1917,2020,8.2,https://www.imdb.com/title/tt8579674/
123,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/
124,Ladri di biciclette,1948,8.2,https://www.imdb.com/title/tt0040522/
125,Der Untergang,2006,8.2,https://www.imdb.com/title/tt0363163/
126,Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/
127,The Wolf of Wall Street,2014,8.2,https://www.imdb.com/title/tt0993846/
128,Hababam Sinifi: Sinifta Kaldi,1975,8.6,https://www.imdb.com/title/tt0252488/
129,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/
130,The Truman Show,1998,8.2,https://www.imdb.com/title/tt0120382/
131,Hamilton,2020,8.3,https://www.imdb.com/title/tt8503618/
132,Taxi Driver,1978,8.2,https://www.imdb.com/title/tt0075314/
133,Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/
134,Per qualche dollaro in più,2023,8.2,https://www.imdb.com/title/tt0059578/
135,Judgment at Nuremberg,1961,8.3,https://www.imdb.com/title/tt0055031/
136,Shutter Island,2010,8.2,https://www.imdb.com/title/tt1130884/
137,Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/
138,Jurassic Park,1994,8.2,https://www.imdb.com/title/tt0107290/
139,The Kid,2015,8.2,https://www.imdb.com/title/tt0012349/
140,The Father,2021,8.2,https://www.imdb.com/title/tt10272386/
141,All About Eve,1951,8.2,https://www.imdb.com/title/tt0042192/
142,There Will Be Blood,2008,8.2,https://www.imdb.com/title/tt0469494/
143,The Sixth Sense,2019,8.2,https://www.imdb.com/title/tt0167404/
144,Ran,1985,8.2,https://www.imdb.com/title/tt0089881/
145,Casino,2013,8.2,https://www.imdb.com/title/tt0112641/
146,Top Gun: Maverick,2022,8.2,https://www.imdb.com/title/tt1745960/
147,No Country for Old Men,2008,8.2,https://www.imdb.com/title/tt0477348/
148,The Thing,1982,8.2,https://www.imdb.com/title/tt0084787/
149,Unforgiven,2020,8.2,https://www.imdb.com/title/tt0105695/
150,El laberinto del fauno,2018,8.2,https://www.imdb.com/title/tt0457430/
151,Kill Bill: Vol. 1,2003,8.2,https://www.imdb.com/title/tt0266697/
152,A Beautiful Mind,2020,8.2,https://www.imdb.com/title/tt0268978/
153,Prisoners,2013,8.2,https://www.imdb.com/title/tt1392214/
154,The Treasure of the Sierra Madre,1948,8.2,https://www.imdb.com/title/tt0040897/
155,Yôjinbô,1961,8.2,https://www.imdb.com/title/tt0055630/
156,Finding Nemo,2003,8.2,https://www.imdb.com/title/tt0266543/
157,Hauru no ugoku shiro,2020,8.2,https://www.imdb.com/title/tt0347149/
158,La meglio gioventù,2003,8.4,https://www.imdb.com/title/tt0346336/
159,The Great Escape,1963,8.2,https://www.imdb.com/title/tt0057115/
160,Monty Python and the Holy Grail,1979,8.2,https://www.imdb.com/title/tt0071853/
161,The Elephant Man,1980,8.2,https://www.imdb.com/title/tt0080678/
162,Klaus,2019,8.2,https://www.imdb.com/title/tt4729430/
163,Dial M for Murder,2020,8.2,https://www.imdb.com/title/tt0046912/
164,Gone with the Wind,2020,8.2,https://www.imdb.com/title/tt0031381/
165,El secreto de sus ojos,2009,8.2,https://www.imdb.com/title/tt1305806/
166,Chinatown,2013,8.1,https://www.imdb.com/title/tt0071315/
167,"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.com/title/tt0120735/
168,V for Vendetta,2017,8.1,https://www.imdb.com/title/tt0434409/
169,Rashômon,1950,8.1,https://www.imdb.com/title/tt0042876/
170,Inside Out,2015,8.1,https://www.imdb.com/title/tt2096673/
171,"Three Billboards Outside Ebbing, Missouri",2018,8.1,https://www.imdb.com/title/tt5027774/
172,Catch Me If You Can,2020,8.1,https://www.imdb.com/title/tt0264464/
173,Trainspotting,1996,8.1,https://www.imdb.com/title/tt0117951/
174,The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/
175,Raging Bull,1980,8.1,https://www.imdb.com/title/tt0081398/
176,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com/title/tt1201607/
177,Fargo,1996,8.1,https://www.imdb.com/title/tt0116282/
178,The Wild Robot,2024,8.2,https://www.imdb.com/title/tt29623480/
179,Warrior,2015,8.1,https://www.imdb.com/title/tt1291584/
180,Million Dollar Baby,2005,8.1,https://www.imdb.com/title/tt0405159/
181,Dead Poets Society,2021,8.1,https://www.imdb.com/title/tt0097165/
182,Gran Torino,2009,8.1,https://www.imdb.com/title/tt1205489/
183,Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/
184,Mad Max: Fury Road,2015,8.1,https://www.imdb.com/title/tt1392190/
185,Barry Lyndon,1975,8.1,https://www.imdb.com/title/tt0072684/
186,Tonari no Totoro,2020,8.1,https://www.imdb.com/title/tt0096283/
187,Bacheha-ye aseman,1997,8.2,https://www.imdb.com/title/tt0118849/
188,Hacksaw Ridge,2016,8.1,https://www.imdb.com/title/tt2119532/
189,The Grand Budapest Hotel,2014,8.1,https://www.imdb.com/title/tt2278388/
190,12 Years a Slave,2014,8.1,https://www.imdb.com/title/tt2024544/
191,Before Sunrise,2019,8.1,https://www.imdb.com/title/tt0112471/
192,Spider-Man: No Way Home,2021,8.2,https://www.imdb.com/title/tt10872600/
193,Blade Runner,2020,8.1,https://www.imdb.com/title/tt0083658/
194,Salinui chueok,2003,8.1,https://www.imdb.com/title/tt0353969/
195,Gone Girl,2014,8.1,https://www.imdb.com/title/tt2267998/
196,Ratatouille,2007,8.1,https://www.imdb.com/title/tt0382932/
197,How to Train Your Dragon,2010,8.1,https://www.imdb.com/title/tt0892769/
198,"Monsters, Inc.",2002,8.1,https://www.imdb.com/title/tt0198781/
199,Jaws,1975,8.1,https://www.imdb.com/title/tt0073195/
200,In the Name of the Father,1993,8.1,https://www.imdb.com/title/tt0107207/
201,Relatos salvajes,2014,8.1,https://www.imdb.com/title/tt3011894/
202,The Gold Rush,1925,8.1,https://www.imdb.com/title/tt0015864/
203,Ford v Ferrari,2019,8.1,https://www.imdb.com/title/tt1950186/
204,Sherlock Jr.,1924,8.1,https://www.imdb.com/title/tt0015324/
205,Mary and Max.,2009,8.1,https://www.imdb.com/title/tt0978762/
206,The Deer Hunter,1979,8.1,https://www.imdb.com/title/tt0077416/
207,Le salaire de la peur,1955,8.1,https://www.imdb.com/title/tt0046268/
208,The General,1927,8.1,https://www.imdb.com/title/tt0017925/
209,Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com/title/tt0031679/
210,On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/
211,Logan,2017,8.1,https://www.imdb.com/title/tt3315342/
212,Rocky,1976,8.1,https://www.imdb.com/title/tt0075148/
213,Smultronstället,1957,8.1,https://www.imdb.com/title/tt0050986/
214,Tôkyô monogatari,1953,8.1,https://www.imdb.com/title/tt0046438/
215,The Third Man,1949,8.1,https://www.imdb.com/title/tt0041959/
216,Maharaja,2024,8.4,https://www.imdb.com/title/tt26548265/
217,Spotlight,2016,8.1,https://www.imdb.com/title/tt1895587/
218,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,https://www.imdb.com/title/tt0325980/
219,The Terminator,1984,8.1,https://www.imdb.com/title/tt0088247/
220,The Big Lebowski,2019,8.1,https://www.imdb.com/title/tt0118715/
221,La haine,1996,8.1,https://www.imdb.com/title/tt0113247/
222,Jai Bhim,2021,8.6,https://www.imdb.com/title/tt15097216/
223,Det sjunde inseglet,1957,8.1,https://www.imdb.com/title/tt0050976/
224,Room,2016,8.1,https://www.imdb.com/title/tt3170832/
225,Hotel Rwanda,2005,8.1,https://www.imdb.com/title/tt0395169/
226,Platoon,1989,8.1,https://www.imdb.com/title/tt0091763/
227,The Best Years of Our Lives,1947,8.1,https://www.imdb.com/title/tt0036868/
228,Before Sunset,2004,8.1,https://www.imdb.com/title/tt0381681/
229,The Sound of Music,2014,8.1,https://www.imdb.com/title/tt0059742/
230,The Exorcist,1977,8.1,https://www.imdb.com/title/tt0070047/
231,The Incredibles,2011,8.0,https://www.imdb.com/title/tt0317705/
232,Hachi: A Dog&apos;s Tale,2017,8.1,https://www.imdb.com/title/tt1028532/
233,Rush,2013,8.1,https://www.imdb.com/title/tt1979320/
234,The Wizard of Oz,1952,8.1,https://www.imdb.com/title/tt0032138/
235,Koe no katachi,2019,8.1,https://www.imdb.com/title/tt5323662/
236,La passion de Jeanne d&apos;Arc,1928,8.1,https://www.imdb.com/title/tt0019254/
237,Stand by Me,1986,8.1,https://www.imdb.com/title/tt0092005/
238,The Iron Giant,1999,8.1,https://www.imdb.com/title/tt0129167/
239,Babam ve Oglum,2005,8.2,https://www.imdb.com/title/tt0476735/
240,Ah-ga-ssi,2016,8.1,https://www.imdb.com/title/tt4016934/
241,Network,1976,8.1,https://www.imdb.com/title/tt0074958/
242,La battaglia di Algeri,1966,8.1,https://www.imdb.com/title/tt0058946/
243,The Grapes of Wrath,1940,8.1,https://www.imdb.com/title/tt0032551/
244,To Be or Not to Be,1942,8.1,https://www.imdb.com/title/tt0035446/
245,Into the Wild,2018,8.0,https://www.imdb.com/title/tt0758758/
246,Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,2021,8.2,https://www.imdb.com/title/tt11032374/
247,The Help,2011,8.1,https://www.imdb.com/title/tt1454029/
248,Gangs of Wasseypur,2012,8.2,https://www.imdb.com/title/tt1954470/
249,Drishyam,2015,8.2,https://www.imdb.com/title/tt4430212/
250,Groundhog Day,1993,8.0,https://www.imdb.com/title/tt0107048/
